Song Title/Album Title,Album,Main Artist,Year,US,AUS,CAN,FRA,GER,IRE,NLD,NZ,SWI,UK,Certifications 1,RIAA,ARIA,BPI,BVMI,RMNZ,MC,IFPI SWI:,SNEP
Drunk in Love,*Beyonce*,Beyonce,2013,2,22,23,9,70,10,36,7,40,9,,3x Platinum,Platinum,Platinum,Gold,Gold,Platinum,,
Partition,*Beyonce*,Beyonce,2014,23, ,100,120, ,57, , , ,74,,Platinum,,Gold,,,,,
Pretty Hurts,*Beyonce*,Beyonce,2014, ,47,78,133,83,56,87, ,67,63,,,,Silver,,,,,
Flawless,*Beyonce*,Beyonce,2014,41, ,88,83, ,77, , , ,65,,,,Silver,,,,,
7 - 11 - Song,*Beyonce*,Beyonce,2014,13,41,43,11,78,54,48,24,74,33,,Platinum,Gold,Gold,,Gold,,,
Ring Off,*Beyonce*,Beyonce,2014, , , ,110, , ,84, , ,81,,,,,,,,,
Formation,*Lemonade*,Beyonce,2016,10,17,32,24,74,59, , , ,31,,Platinum,Gold,Silver,,,Platinum,,
Sorry,*Lemonade*,Beyonce,2016,11,74,40,62, ,82, , , ,33,,Platinum,Gold,Silver,,,,,
Hold Up,*Lemonade*,Beyonce,2016,13,25,37,14, ,52, , , ,11,,Platinum,Gold,Gold,,,,,
Freedom,*Lemonade*,Beyonce,2016,35,62,60,53, ,95, , , ,40,,,,,,,,,
All Night,*Lemonade*,Beyonce,2016,38, ,73,71, , , , , ,60,,,,,,,,,
Perfect Duet,Non-album single,Beyonce,2017,1, ,1, , , ,1,1, , ,,,,,,2x Platinum,,,
